id,Team1Id,Team1,Team2Id,Team2,LeagueId,League,CategoryId,Category,League_Category,Sport,begin,ended,Set1_T1,Set1_T2,Set2_T1,Set2_T2,Set3_T1,Set3_T2,TotScore_T1,TotScore_T2,Tipp1,TippX,Tipp2,Over_Under4_5,Over4_5,Under4_5,Over_Under5_5,Over5_5,Under5_5
117794610,3707,Frisk/Asker,22018,Kongsvinger IL,120301,Elitserien,38201,Norwegen,Elitserien - Norwegen,Eishockey,14/09/2014 18:01,14/09/2014 20:06,2,0,5,2,0,0,7,2,1.31243,7.85405,9.03086,4.5,1.30845,4.242,5.5,1.59092,2.69228
117873210,3847,Kölner Haie,5430,Wolfsburg Grizzly A.,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,14/09/2014 14:33,14/09/2014 16:56,1,0,0,3,0,1,1,4,2.08755,4.54213,3.3468,4.5,1.55462,2.80304,5.5,2.04083,1.96077
117873310,3856,Eisbären Berlin,5434,Straubing Tigers,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,14/09/2014 14:30,14/09/2014 16:46,2,0,3,0,0,1,5,1,1.78194,4.93002,4.20838,4.5,1.56054,2.78401,5.5,2.04545,1.95652
117873410,3858,Nürnberg Ice Tigers,3860,Iserlohn Roosters,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,14/09/2014 16:30,14/09/2014 19:02,0,1,2,0,0,1,2,2,1.95081,4.74914,3.62639,4.5,1.50959,2.96238,5.5,1.98019,2.02021
117873510,3852,Krefeld Pinguine,3853,Adler Mannheim,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,14/09/2014 16:31,14/09/2014 19:11,1,0,2,0,2,2,5,2,2.8419,4.50823,2.35251,4.5,1.54719,2.8275,5.5,2.04545,1.95652
117873610,3863,ERC Ingolstadt,3851,Augsburger Panther,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,14/09/2014 16:30,14/09/2014 19:11,0,1,1,2,1,1,2,4,2.09349,4.81314,3.1892,4.5,1.50959,2.96238,5.5,1.96078,2.04082
117873710,5426,Red Bull München,3857,Schwenninger Wings,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,14/09/2014 16:30,14/09/2014 18:58,1,0,3,0,3,0,7,0,1.47063,6.29814,6.20183,4.5,1.45094,3.21758,5.5,1.81697,2.22404
117873810,3862,Düsseldorfer EG,3848,Hamburg Freezers,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,14/09/2014 17:46,14/09/2014 20:01,2,0,1,0,1,1,4,1,3.28891,4.46447,2.12761,4.5,1.50318,2.98736,5.5,1.98019,2.02021
117874610,3870,HC Ocelari Trinec,37839,HC Olomouc,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,14/09/2014 15:00,14/09/2014 17:21,2,1,2,0,2,0,6,1,1.44527,6.53506,6.36936,4.5,1.48006,3.08308,5.5,1.88971,2.12396
117874710,3874,HC Karlovy Vary,3866,HC Vitkovice,109301,Extraliga,42201,Tschechien,Extraliga - Tschechien,Eishockey,14/09/2014 15:29,14/09/2014 17:59,1,1,1,3,1,0,3,4,2.77013,4.22919,2.49328,4.5,1.6925,2.44403,5.5,2.2986,1.77006
